id,tweetText,tweetURL,type,tweetAuthor,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL
1736545742720778605,"¡Una estrella más! Liga de Quito, campeón 2023 de la Liga Pro. El cuadro albo consiguió su decimosegunda corona en el fútbol ecuatoriano al imponerse a Independiente del Valle 3-0 (global 1-1) en la tanda de penales. https://t.co/XOTFGfOXsL https://t.co/NVdZ9lqJHu",https://twitter.com/eluniversocom/status/1736545742720778605,tweet,El Universo,7,4,16,108,19923,1,2023-12-17 19:35:43,"https://pbs.twimg.com/media/GBlzJl5WUAA6ING.jpg,https://pbs.twimg.com/media/GBlzJkZWAAA8BhG.jpg,https://pbs.twimg.com/media/GBlzJkJXgAA1_dM.jpg,https://pbs.twimg.com/media/GBlzJjtWQAAccp1.jpg"
1736544351214309530,"Horarios de cortes de luz en Santa Elena para este lunes, 18 de diciembre https://t.co/QWXAVVt7Ds https://t.co/qNvArU7XDh",https://twitter.com/eluniversocom/status/1736544351214309530,tweet,El Universo,6,0,2,8,11340,0,2023-12-17 19:30:11,https://pbs.twimg.com/media/GBlx4pWWIAA_iQC.jpg
1736541838561902606,"Horarios de cortes de luz en Guayaquil para este lunes, 18 de diciembre
https://t.co/ybnisENmLy https://t.co/mxUGkjn12S",https://twitter.com/eluniversocom/status/1736541838561902606,tweet,El Universo,9,1,4,13,21744,0,2023-12-17 19:20:12,https://pbs.twimg.com/media/GBlvmZhWkAAW48q.jpg
1736539411280441579,"#Entretenimiento | Todo lo que debes saber de “Wonka”, la tercera versión de la famosa historia del misterioso chocolatero tiene “una dosis exacta de dulce”, según Rolling Stone https://t.co/phk9nds094 https://t.co/EW9iFDca7F",https://twitter.com/eluniversocom/status/1736539411280441579,tweet,El Universo,0,0,3,11,11507,0,2023-12-17 19:10:33,https://pbs.twimg.com/media/GBltZHIX0AAEQYd.jpg
1736536811923447958,"Aeropuerto de Quito instaló las primeras puertas biométricas de control migratorio
https://t.co/Y7HlNV66bu https://t.co/TF5fGvWzKp",https://twitter.com/eluniversocom/status/1736536811923447958,tweet,El Universo,7,2,3,21,17187,0,2023-12-17 19:00:13,https://pbs.twimg.com/media/GBlrB15WwAAkV_8.jpg
1736532825799565603,"#Final  #LigaPro

Leonel Quiñónez anota (3-0).

Ligade Quito CAMPEÓN de la #LigaPro.

Penales:
#LDUQ ✅✅✅
#IDV❌❌❌ https://t.co/2cAJos1RT9",https://twitter.com/eluniversocom/status/1736532825799565603,retweet,El Universo,0,0,16,0,1,0,2023-12-17 18:44:23,
1736532648338579711,"¡Liga campeón de LigaPro 2023! Venció en penales a Independiente del Valle. https://t.co/26QmqQNLSX

#LDUvsIDV https://t.co/mJJNG8go9y",https://twitter.com/eluniversocom/status/1736532648338579711,tweet,El Universo,8,2,24,122,13854,0,2023-12-17 18:43:41,https://pbs.twimg.com/ext_tw_video_thumb/1736532585394659328/pu/img/_3RDu0UkjM5hysdc.jpg
1736531919993536720,"#Final  #LigaPro

Marcelo Martins Moreno falla para Independiente  (2-0)

Penales:
#LDUQ ✅✅
#IDV❌❌❌",https://twitter.com/eluniversocom/status/1736531919993536720,retweet,El Universo,0,0,2,0,-,0,2023-12-17 18:40:47,
1736531849600544961,"#Final  #LigaPro

Jan Hurtado anota para Liga  (2-0)

Penales:
#LDUQ ✅✅
#IDV❌❌",https://twitter.com/eluniversocom/status/1736531849600544961,retweet,El Universo,0,0,2,0,-,0,2023-12-17 18:40:30,
1736531765211132322,"Horarios de cortes de luz en Quito para este lunes 18 de diciembre
https://t.co/Ul7PkLx7Ud https://t.co/E9AY9WPafI",https://twitter.com/eluniversocom/status/1736531765211132322,tweet,El Universo,6,0,0,6,10072,0,2023-12-17 18:40:10,https://pbs.twimg.com/media/GBlmcGBW0AAW4TH.jpg
1736531432137253162,"Final en Casa Blanca, en Quito.

Con el empate, la definición del título va a los tiros penales.
#LDUQ 1-1 #IDV (global 1-1)
#LigaPro https://t.co/fPJXcX8vWS",https://twitter.com/eluniversocom/status/1736531432137253162,retweet,El Universo,0,0,4,0,-,0,2023-12-17 18:38:51,
1736526736756470127,"Horarios de cortes de luz en Bolívar para este lunes, 18 de diciembre
https://t.co/5ldDuzBD7Y https://t.co/tOfLAahcVq",https://twitter.com/eluniversocom/status/1736526736756470127,tweet,El Universo,9,0,3,11,10679,0,2023-12-17 18:20:11,https://pbs.twimg.com/media/GBlh3XPWEAAi35Z.jpg
1736525510761464066,"⏱ 70 minutos | Se matiene la igualdad.

#LDUQ 1-1 #IDV (global 1-1)
#LigaPro

En vivo ►https://t.co/FoXeRRsBLL https://t.co/URT46FhAaW",https://twitter.com/eluniversocom/status/1736525510761464066,retweet,El Universo,0,0,4,0,-,0,2023-12-17 18:15:19,
1736525451588227359,"En reserva continúan investigaciones para ubicar a Colin Armstrong, cónsul honorario de Reino Unido, secuestrado en Los Ríos
https://t.co/Hc68fp9NG9 https://t.co/u0YXIoX3yS",https://twitter.com/eluniversocom/status/1736525451588227359,tweet,El Universo,20,2,57,140,74193,2,2023-12-17 18:15:05,https://pbs.twimg.com/media/GBlgslQXIAA1MGw.jpg
1736521717240008970,"¿Dónde cenar el 24 de diciembre en Guayaquil? Estos son los menús de Nochebuena que ofrecen los hoteles de la ciudad
https://t.co/eYk38qAttZ https://t.co/9iwwrMooeq",https://twitter.com/eluniversocom/status/1736521717240008970,tweet,El Universo,0,1,2,7,9406,0,2023-12-17 18:00:15,https://pbs.twimg.com/media/GBldTNUXYAAJ_io.jpg
1736516665070825925,"Severo temporal deja 16 muertos en Argentina y Uruguay
https://t.co/EJ6ED6ITvJ https://t.co/lsNRxq3zoc",https://twitter.com/eluniversocom/status/1736516665070825925,tweet,El Universo,0,0,3,8,10803,0,2023-12-17 17:40:10,https://pbs.twimg.com/media/GBlYtHhXoAEd3Z-.jpg
1736514165576012198,Horarios de cortes de luz en #Quito para este lunes 18 de diciembre https://t.co/moqoHgsMrX https://t.co/pAXLmas4ub,https://twitter.com/eluniversocom/status/1736514165576012198,tweet,El Universo,0,1,1,5,11109,1,2023-12-17 17:30:14,https://pbs.twimg.com/media/GBlWbneXgAAuqNc.jpg
1736511635987087812,"Dirección General del Consejo de la Judicatura suspende logística del concurso para selección de jueces de la Corte
https://t.co/MuUU0pKf4a https://t.co/ueXHUJJ6dG",https://twitter.com/eluniversocom/status/1736511635987087812,tweet,El Universo,3,1,35,144,18995,1,2023-12-17 17:20:11,https://pbs.twimg.com/media/GBlUIYPWsAAaifn.jpg
