id,tweetText,tweetURL,type,tweetAuthor,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL
1736167466349261174,"Esta mañana en Guayaquil, el presidente @DanielNoboaOk participó de la firma del “Pacto social y productivo por #ElNuevoEcuador”.

Esto tiene como objetivo priorizar el empleo joven e impulsar los emprendimientos para dinamizar la economía y aumentar las plazas de trabajo de los… https://t.co/xPdAvmgBqy",https://twitter.com/DanielNoboaOk/status/1736167466349261174,retweet,Daniel Noboa Azin,0,0,104,0,4,0,2023-12-16 18:32:35,
1736019597734588609,"#ElNuevoEcuador pone en marcha su estrategia de seguridad. 

Trabajo articulado, cooperación internacional y desarrollo de inteligencia táctica y operativa para todo el país. 💪🔐🇪🇨 https://t.co/MHAGvRepRM",https://twitter.com/DanielNoboaOk/status/1736019597734588609,retweet,Daniel Noboa Azin,0,0,173,0,8,0,2023-12-16 08:45:00,
1736015811045700083,"Las Alianzas Público-Privadas son claves para cerrar la brecha de infraestructura y crear empleo. Por cada $1000 MM de inversión, se estima se generen 20 mil a 40 mil plazas de trabajo.

La Ley Económica y Empleo, que impulsa el presidente @DanielNoboaOk, es urgente y necesaria. https://t.co/9cuZkg3ZYX",https://twitter.com/DanielNoboaOk/status/1736015811045700083,retweet,Daniel Noboa Azin,0,0,78,0,10,0,2023-12-16 08:29:57,
1735373477316633064,"El Gabinete canadiense aprobó el inicio de las negociaciones del Acuerdo Comercial entre Ecuador🇪🇨 y Canadá🇨🇦. La negociación iniciará en marzo de 2024. 

El acuerdo proyecta la generación de 40.000 plazas de empleo y la apertura comercial estratégica de #ElNuevoEcuador💪🏽. https://t.co/RYsGX5ukfv",https://twitter.com/DanielNoboaOk/status/1735373477316633064,retweet,Daniel Noboa Azin,0,0,112,0,15,0,2023-12-14 13:57:33,
1735371675657523318,"Para combatir la violencia, debemos enfrentar la impunidad.

Quiero felicitar a la Ministra de Gobierno y a la Policía Nacional por la captura de Byron M B, alias ""Borreguito"", quien tiene antecedentes criminales y participó en el asesinato de cinco menores de edad y su madre.

Ningún crimen quedará impune.",https://twitter.com/DanielNoboaOk/status/1735371675657523318,tweet,Daniel Noboa Azin,1685,142,821,6042,562529,53,2023-12-14 13:50:23,
1735362312809206099,"🇪🇨🇨🇴El Ministro @andrescamachom_ se comprometió  a proveer a Ecuador de energía, mientras dure el estiaje y sus reservas hidrológicas lo permitan. 

En la cita participaron: @comisioncreg, la @UPMEOficial, y el equipo técnico del Viceministerio de Energía.🧵

#ElNuevoEcuador 🇪🇨 https://t.co/6jxwu0xN9W",https://twitter.com/DanielNoboaOk/status/1735362312809206099,retweet,Daniel Noboa Azin,0,0,115,0,13,0,2023-12-14 13:13:11,
1733886672285093952,"El nuevo Ecuador se hace presente 🇪🇨

Esta mañana, tuvimos una reunión bilateral con el presidente @SantiPenap de la República de Paraguay. 

Dialogamos sobre la lucha contra el crimen transnacional organizado y el fortalecimiento de los valores democráticos y la justicia social para la defensa de los derechos humanos.",https://twitter.com/DanielNoboaOk/status/1733886672285093952,tweet,Daniel Noboa Azin,977,45,453,4032,274230,15,2023-12-10 11:29:31,"https://pbs.twimg.com/media/GBAAvFIWEAARmJ_.jpg,https://pbs.twimg.com/media/GBAAvFGXoAA8pTK.jpg,https://pbs.twimg.com/media/GBAAvFIWYAEvmD2.jpg"
1733874780632162352,"I met with @DanielNoboaOk and congratulated him on his recent election as Ecuador's President.
 
I thanked Ecuador for its stance in support of resolutions condemning the Russian invasion of Ukraine and invited it to the next Peace Formula meeting in January 2024.
 
The support… https://t.co/AhqjdpgbSg",https://twitter.com/DanielNoboaOk/status/1733874780632162352,retweet,Daniel Noboa Azin,0,0,2525,0,12,0,2023-12-10 10:42:16,
1732819835250254289,"Ecuador preside el Consejo de Seguridad de las Naciones Unidas 🇺🇳 

Durante el mes de diciembre impulsamos el debate para combatir la delincuencia organizada transnacional. 

Invitamos a todas las naciones a sumar esfuerzos para lograr nuestros objetivos comunes: paz para los ciudadanos del mundo y bienestar para cada una de nuestras naciones.

#NoboaPresidente #ElNuevoEcuador",https://twitter.com/DanielNoboaOk/status/1732819835250254289,tweet,Daniel Noboa Azin,364,33,354,2747,218877,16,2023-12-07 12:50:17,"https://pbs.twimg.com/media/GAw2W2tWMAA8pZD.jpg,https://pbs.twimg.com/media/GAw2W2rXsAAvPpC.jpg,https://pbs.twimg.com/media/GAw2W2rX0AA84ww.jpg"
1732150946472308998,"Continuamos trabajando por el Nuevo Ecuador✊🏼🇪🇨

La esperanza de los niños y jóvenes nos mantienen comprometidos con el país. 

#NoboaPresidente #ElNuevoEcuador https://t.co/dwq0dEqHtH",https://twitter.com/DanielNoboaOk/status/1732150946472308998,tweet,Daniel Noboa Azin,691,60,318,3522,212350,9,2023-12-05 16:32:22,https://pbs.twimg.com/media/GAnWGOdXgAAObeR.jpg
1730423382766657610,"Guayas y El Oro oficialmente ya tienen a sus Gobernadores ✊🏽🇪🇨

El Crnel. Alberto Molina y el Ing. Jimmy Blacio, respectivamente, serán los representantes del ejecutivo en dichas provincias. Gracias a sus valores, capacidades y gran honestidad, construiremos desde cada territorio #ElNuevoEcuador.",https://twitter.com/DanielNoboaOk/status/1730423382766657610,tweet,Daniel Noboa Azin,596,29,286,2435,320798,18,2023-11-30 22:07:38,
